iter	Passed	Remaining
0	20	101074
1	38	96394
2	55	92444
3	72	90120
4	90	90528
5	107	89693
6	124	88639
7	140	87442
8	156	86735
9	171	85800
10	187	85179
11	205	85329
12	222	85520
13	240	85782
14	259	86142
15	279	87017
16	299	87856
17	320	88750
18	342	89752
19	361	89932
20	380	90108
21	399	90287
22	416	90108
23	437	90619
24	455	90595
25	474	90839
26	493	90968
27	513	91157
28	534	91584
29	555	91985
30	574	92117
31	590	91679
32	605	91091
33	620	90562
34	635	90172
35	651	89847
36	668	89663
37	685	89549
38	707	89955
39	728	90357
40	748	90527
41	768	90717
42	786	90649
43	802	90382
44	817	89978
45	832	89624
46	850	89594
47	868	89558
48	887	89668
49	906	89737
50	926	89879
51	945	90007
52	964	89985
53	981	89861
54	998	89786
55	1014	89532
56	1030	89396
57	1047	89232
58	1065	89263
59	1083	89181
60	1100	89071
61	1116	88953
62	1135	88946
63	1155	89142
64	1174	89156
65	1191	89104
66	1209	89076
67	1228	89135
68	1248	89223
69	1265	89146
70	1282	89068
71	1299	88914
72	1316	88879
73	1335	88890
74	1355	89043
75	1376	89192
76	1394	89162
77	1412	89114
78	1428	88987
79	1445	88886
80	1462	88818
81	1481	88852
82	1500	88898
83	1521	89061
84	1543	89247
85	1564	89412
86	1587	89622
87	1607	89733
88	1626	89766
89	1647	89870
90	1664	89810
91	1683	89832
92	1705	89990
93	1726	90119
94	1748	90267
95	1771	90487
96	1792	90602
97	1811	90593
98	1826	90442
99	1842	90281
100	1860	90250
101	1879	90262
102	1899	90296
103	1919	90377
104	1939	90419
105	1961	90541
106	1983	90685
107	2003	90743
108	2023	90794
109	2042	90795
110	2060	90744
111	2078	90727
112	2097	90732
113	2115	90656
114	2133	90614
115	2159	90922
116	2190	91410
117	2220	91848
118	2255	92501
119	2281	92761
120	2303	92875
121	2324	92937
122	2342	92894
123	2362	92896
124	2381	92880
125	2401	92890
126	2419	92817
127	2439	92842
128	2457	92804
129	2475	92737
130	2494	92713
131	2513	92678
132	2535	92772
133	2558	92901
134	2585	93185
135	2612	93422
136	2633	93477
137	2652	93462
138	2672	93460
139	2692	93481
140	2711	93431
141	2731	93432
142	2752	93475
143	2776	93614
144	2796	93648
145	2816	93633
146	2834	93564
147	2850	93462
148	2868	93380
149	2884	93262
150	2904	93256
151	2924	93268
152	2947	93370
153	2969	93428
154	2991	93522
155	3014	93612
156	3035	93621
157	3053	93582
158	3072	93535
159	3090	93499
160	3110	93476
161	3128	93425
162	3149	93449
163	3171	93533
164	3194	93595
165	3215	93627
166	3235	93633
167	3255	93631
168	3275	93645
169	3294	93590
170	3311	93519
171	3329	93457
172	3347	93396
173	3365	93354
174	3385	93340
175	3406	93367
176	3428	93413
177	3446	93373
178	3464	93307
179	3480	93199
180	3498	93134
181	3515	93067
182	3535	93055
183	3557	93111
184	3579	93174
185	3604	93300
186	3625	93317
187	3644	93286
188	3662	93240
189	3680	93171
190	3696	93074
191	3714	93021
